1, 1, 5, 512, 0, 0, 0, 0
5, 1, 5, 30, 1, 0, 0, 0
7, 2, 5, 64, 0, 0, 0, 1
15, 2, 5, 64, 0, 0, 0, 0
30, 0, 10, 64, 0, 0, 0, 0
15, 1, 5, 52, 0, 0, 0, 1
12, 1, 5, 108, 2, 0, 0, 0
2, 2, 5, 10, 0, 1, 0, 0
6, 2, 5, 32, 1, 0, 1, 0
9, 0, 8, 64, 0, 0, 0, 0
7, 1, 2, 512, 1, 0, 1, 0
5, 1, 3, 400, 0, 0, 0, 0
0, 2, 5, 64, 0, 1, 0, 0
1, 2, 15, 64, 0, 0, 1, 0
0, 0, 12, 64, 0, 0, 0, 0
9, 1, 1, 512, 0, 0, 0, 2
5, 1, 10, 400, 1, 0, 0, 0
6, 2, 4, 64, 0, 1, 0, 0
3, 2, 5, 64, 0, 0, 0, 0
4, 0, 8, 64, 0, 0, 0, 0
8, 1, 19, 512, 0, 0, 0, 0
7, 1, 10, 400, 0, 0, 0, 0
17, 2, 5, 64, 0, 1, 0, 0
19, 2, 5, 64, 0, 0, 0, 1
32, 0, 9, 64, 0, 0, 0, 0
